sample_size,contamination_prop,contamination_type,model,coverage_probability,average_ci_width
250,0.3,unbiased,t,0.943,0.35760877
250,0.3,unbiased,BBmean,0.942,1.3635046
250,0.3,unbiased,BBtrim,0.94,0.41818
250,0.3,biased,normal,0.0,1.1653118
250,0.3,biased,cont,0.839,0.36311013
250,0.3,biased,t,0.771,0.37258494
250,0.3,biased,BBmean,0.0,1.1557784
250,0.3,biased,BBtrim,0.0,1.7448125
250,0.4,unbiased,normal,0.949,1.5715743
250,0.4,unbiased,cont,0.942,0.37196705
250,0.4,unbiased,t,0.96,0.41866484
250,0.4,unbiased,BBmean,0.946,1.5653728
250,0.4,unbiased,BBtrim,0.957,0.5649441
250,0.4,biased,normal,0.0,1.2421924
250,0.4,biased,cont,0.681,0.4921267
250,0.4,biased,t,0.154,1.418471
250,0.4,biased,BBmean,0.0,1.2283607
250,0.4,biased,BBtrim,0.0,1.9059598
250,0.5,unbiased,normal,0.949,1.7600365
250,0.5,unbiased,cont,0.942,0.42824075
250,0.5,unbiased,t,0.971,0.54103345
250,0.5,unbiased,BBmean,0.945,1.7462207
250,0.5,unbiased,BBtrim,0.948,0.87701887
250,0.5,biased,normal,0.0,1.2668232
250,0.5,biased,cont,0.45,0.65404904
250,0.5,biased,t,0.0,1.3768274
250,0.5,biased,BBmean,0.0,1.25672
250,0.5,biased,BBtrim,0.0,1.9553341
